"index";"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"touchscreen";"ips";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price"
42;"Dell";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"Windows";2.3;22305
43;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"Windows";1.86;36763
44;"Asus";"Ultrabook";15.6;1920;1080;0;0;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";"Windows";1.8;105654
45;"Apple";"Ultrabook";13.3;1440;900;0;0;"Intel";"Core i5";1.6;8;"Flash Storage";128;0;"Intel";"Mac";1.35;58555
46;"HP";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"AMD";"Windows";1.86;23373
47;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";"Windows";2.2;42624
48;"HP";"Notebook";14.0;1366;768;0;0;"Intel";"Celeron Dual";1.6;4;"SSD";32;0;"Intel";"Windows";1.44;12201
49;"Dell";"Ultrabook";15.6;1920;1080;0;0;"Intel";"Core i7";1.9;8;"SSD";256;256;"Intel";"Windows";1.88;69157
50;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Intel";"Windows";1.9;29251
51;"HP";"Notebook";17.3;1920;1080;0;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Nvidia";"Windows";2.5;47739
52;"Chuwi";"Notebook";15.6;1920;1080;0;0;"Intel";"Atom x5-Z8300";1.44;4;"Flash Storage";64;0;"Intel";"Windows";1.89;13053
53;"Asus";"Gaming";17.3;1920;1080;0;0;"Intel";"Core i7";2.8;12;"HDD";1024;0;"Nvidia";"Linux";3.0;50563
54;"Asus";"Notebook";14.0;1366;768;0;0;"AMD";"E-Series E2-6110";1.5;2;"Flash Storage";32;0;"AMD";"Windows";1.65;10603
55;"Microsoft";"Ultrabook";13.5;2256;1504;1;0;"Intel";"Core i5";2.5;4;"SSD";128;0;"Intel";"Windows";1.25;58022
56;"HP";"Notebook";17.3;1920;1080;0;0;"AMD";"A6-Series 9220";2.5;4;"HDD";500;0;"AMD";"Windows";2.71;23390
57;"Dell";"Ultrabook";13.3;1920;1080;0;1;"Intel";"Core i7";1.8;64;"SSD";256;0;"AMD";"Windows";1.4;50882
58;"Dell";"Ultrabook";13.3;3200;1800;1;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";"Windows";1.2;99580
59;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";"Windows";2.2;46354
60;"Apple";"Ultrabook";13.3;1440;900;0;0;"Intel";"Core i5";1.6;8;"Flash Storage";256;0;"Intel";"Mac";1.35;53173
61;"MSI";"Gaming";17.3;1920;1080;0;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";"Windows";2.7;58342
62;"Lenovo";"Notebook";14.0;1366;768;0;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";64;0;"Intel";"Windows";1.44;13267
63;"Acer";"Notebook";14.0;1366;768;0;0;"Intel";"Core i3";2.0;8;"HDD";1024;0;"Intel";"Windows";2.1;20726
64;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Intel";"Linux";2.1;19554
65;"Asus";"Gaming";15.6;1920;1080;0;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"Windows";2.2;50563
66;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;8;"HDD";2048;0;"Intel";"N/A";2.2;27652
67;"Dell";"Notebook";17.3;1920;1080;0;1;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"AMD";"Windows";2.8;52161
68;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"Intel";"Windows";2.02;45554
69;"HP";"Notebook";15.6;1366;768;0;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Intel";"Windows";1.86;26037
70;"Acer";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Nvidia";"Windows";2.2;28238
71;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";"Windows";2.1;46833
72;"Asus";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"Linux";2.0;20726
73;"HP";"Notebook";17.3;1920;1080;0;0;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"Nvidia";"Windows";2.5;52055
74;"Dell";"Gaming";15.6;1920;1080;0;1;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";2.65;79867
75;"Dell";"Ultrabook";15.6;1920;1080;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"Windows";1.88;58403
76;"Asus";"Notebook";15.6;1366;768;0;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Nvidia";"Linux";2.3;27865
77;"Apple";"Ultrabook";12.0;2304;1440;0;1;"Intel";"Core i5";1.3;8;"SSD";512;0;"Intel";"Mac";0.92;80453
78;"HP";"Notebook";14.0;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"Windows";1.63;45821
79;"Acer";"Notebook";15.6;1920;1080;0;1;"Intel";"Core i5";1.6;4;"SSD";256;0;"Intel";"Windows";2.2;36337
80;"Dell";"2 in 1 Convertible";17.3;1920;1080;1;0;"Intel";"Core i5";1.6;12;"HDD";1024;0;"Nvidia";"Windows";2.77;53227
81;"Apple";"Ultrabook";13.3;2560;1600;0;1;"Intel";"Core i5";2.0;8;"SSD";256;0;"Intel";"Mac";1.37;75604
82;"Lenovo";"Notebook";15.6;1920;1080;0;0;"AMD";"A6-Series 9220";2.5;4;"SSD";128;0;"AMD";"Windows";2.2;21259
84;"Acer";"Notebook";15.6;1366;768;0;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";"Windows";2.1;21046
85;"Asus";"Gaming";17.3;1920;1080;0;0;"AMD";"Ryzen 1700";3.0;8;"Hybrid";256;1024;"AMD";"Windows";3.2;69211
86;"Dell";"Gaming";15.6;1920;1080;0;1;"Intel";"Core i7";2.8;16;"Hybrid";128;1024;"Nvidia";"Windows";2.65;71875
87;"HP";"Ultrabook";15.6;1920;1080;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"Windows";1.83;37243
88;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"Windows";1.96;31914
89;"Asus";"Gaming";15.6;1920;1080;0;1;"Intel";"Core i7";2.8;16;"Hybrid";128;1024;"Nvidia";"Windows";2.2;77203
90;"Dell";"Ultrabook";13.3;1920;1080;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"Windows";1.21;87859
91;"Asus";"Gaming";15.6;1920;1080;0;0;"AMD";"FX 9830P";3.0;8;"HDD";1024;0;"AMD";"Windows";2.45;37243
92;"Acer";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";1.8;2;"HDD";1024;0;"Nvidia";"Windows";2.2;36710
93;"HP";"Notebook";13.3;1920;1080;0;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";"Windows";1.49;63776
94;"Dell";"Gaming";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"Windows";2.65;63670
95;"HP";"Notebook";15.6;1366;768;0;0;"AMD";"A6-Series 9220";2.5;4;"SSD";256;0;"AMD";"Windows";1.86;19660
96;"Asus";"Ultrabook";14.0;1920;1080;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";"Windows";1.25;55891
97;"Asus";"Ultrabook";14.0;1920;1080;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"Windows";1.25;58555
98;"HP";"Ultrabook";12.5;3840;2160;1;1;"Intel";"Core M";1.2;8;"SSD";512;0;"Intel";"Windows";0.97;107306
99;"Acer";"2 in 1 Convertible";13.3;1920;1080;1;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"Windows";1.5;45128
100;"Asus";"Notebook";15.6;1920;1080;0;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";"Windows";2.0;18328
102;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"Windows";2.1;23816
103;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"AMD";"Linux";2.2;31963
104;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"AMD";"Linux";2.2;25841
105;"Dell";"Gaming";15.6;1920;1080;0;0;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";"Windows";2.56;66561
106;"Asus";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.4;6;"SSD";256;0;"Nvidia";"Windows";2.0;30743
107;"Dell";"Gaming";15.6;1920;1080;0;0;"Intel";"Core i7";2.8;8;"Hybrid";1024;0;"Nvidia";"Windows";2.62;47899
108;"HP";"Gaming";15.6;1920;1080;0;1;"Intel";"Core i7";2.8;12;"Hybrid";128;1024;"Nvidia";"Windows";2.62;66547
109;"Lenovo";"Notebook";15.6;1366;768;0;0;"Intel";"Core i5";2.5;4;"SSD";128;0;"Intel";"Windows";1.9;26533
110;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"AMD";"Windows";1.91;38308
111;"MSI";"Gaming";17.3;1920;1080;0;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";2.8;100699
112;"HP";"Ultrabook";14.0;1920;1080;0;0;"Intel";"Core i5";2.7;4;"SSD";256;0;"Intel";"Windows";1.48;57649
113;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";1.6;6;"SSD";256;0;"AMD";"Windows";1.91;32980
114;"HP";"Notebook";15.6;1920;1080;0;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";500;0;"AMD";"Windows";2.1;18595
115;"Lenovo";"2 in 1 Convertible";14.0;1920;1080;1;1;"Intel";"Core i3";2.4;4;"SSD";256;0;"Intel";"Windows";1.74;33513
116;"Asus";"2 in 1 Convertible";13.3;1920;1080;1;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"Windows";1.1;70063
117;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"AMD";"Linux";2.2;34472
118;"Dell";"2 in 1 Convertible";15.6;1920;1080;1;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"Windows";1.56;55891
119;"Toshiba";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.2;4;"HDD";500;0;"Intel";"Windows";2.1;23816
120;"Asus";"Notebook";15.6;1366;768;0;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";"Windows";2.03;21472
121;"Acer";"Notebook";17.3;1920;1080;0;1;"Intel";"Core i5";1.6;4;"SSD";256;0;"Nvidia";"Windows";3.0;42890
122;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";"Windows";2.13;38788
123;"Lenovo";"Gaming";15.6;1920;1080;0;1;"Intel";"Core i7";2.8;16;"SSD";256;0;"Nvidia";"Windows";2.5;57489
124;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";"Windows";2.1;18541
125;"MSI";"Gaming";15.6;1920;1080;0;1;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";2.4;95851
126;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Intel";"Windows";2.1;19368
127;"Dell";"Gaming";15.6;1920;1080;0;0;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";"Windows";2.56;56503
128;"Acer";"Notebook";17.3;1920;1080;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";"Windows";3.0;45501
129;"HP";"Notebook";13.3;1920;1080;0;1;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";"Windows";1.49;40173
130;"HP";"Ultrabook";13.3;1920;1080;0;1;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";"Windows";1.38;59620
131;"Huawei";"Ultrabook";13.0;2160;1440;0;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"Windows";1.05;71875
132;"Microsoft";"Ultrabook";13.5;2256;1504;1;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"Windows";1.25;71395
133;"HP";"Notebook";17.3;1920;1080;0;1;"Intel";"Core i5";2.5;6;"HDD";2048;0;"AMD";"Windows";2.71;37243
134;"HP";"Notebook";14.0;1920;1080;0;1;"Intel";"Core i5";2.5;6;"SSD";256;0;"Nvidia";"Windows";1.58;35112
135;"Lenovo";"Notebook";15.6;1366;768;0;0;"AMD";"A6-Series 9220";2.9;4;"HDD";500;0;"AMD";"N/A";2.2;16464
136;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"Windows";1.85;22106
137;"Toshiba";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.4;4;"HDD";500;0;"Intel";"Windows";5.4;26054
138;"HP";"Notebook";17.3;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";"Windows";2.5;49177
139;"Dell";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Intel";"Windows";2.3;24456
140;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.0;4;"SSD";128;0;"Intel";"Windows";2.1;23923
141;"MSI";"Gaming";18.4;1920;1080;0;0;"Intel";"Core i7";2.9;32;"Hybrid";512;1024;"Nvidia";"Windows";4.4;149131
142;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"AMD";"Windows";1.9;43317
143;"HP";"2 in 1 Convertible";13.3;3840;2160;1;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"Windows";1.29;79867
144;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";1.8;16;"Hybrid";256;2048;"AMD";"Linux";2.02;55891
145;"Asus";"Ultrabook";14.0;1920;1080;0;1;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";"Windows";1.3;63563
146;"Dell";"Ultrabook";13.3;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"Windows";1.23;74539
147;"MSI";"Gaming";15.6;1920;1080;0;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";2.2;69211
148;"Lenovo";"2 in 1 Convertible";13.9;3840;2160;1;1;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";"Windows";1.4;98515
149;"Lenovo";"Notebook";14.0;1920;1080;0;1;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";"Windows";1.58;78854
150;"Toshiba";"Notebook";15.6;1366;768;0;0;"Intel";"Core i5";2.5;8;"SSD";128;0;"Intel";"Windows";2.0;42251
151;"Xiaomi";"Notebook";15.6;1920;1080;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";"N/A";1.95;63883
152;"Asus";"Ultrabook";15.6;1920;1080;0;0;"Intel";"Core i7";1.8;16;"Hybrid";256;1024;"Nvidia";"Windows";1.5;67239
153;"Dell";"Ultrabook";13.3;3200;1800;1;0;"Intel";"Core i7";2.4;8;"SSD";256;0;"Intel";"Windows";1.23;73473
154;"Dell";"Notebook";17.3;1920;1080;1;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Nvidia";"Windows";2.77;82531
155;"Dell";"Notebook";15.6;3840;2160;1;0;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";"Windows";2.06;127712
156;"Lenovo";"2 in 1 Convertible";13.3;1920;1080;1;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"Windows";1.37;74539
157;"Lenovo";"Gaming";15.6;1920;1080;0;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"N/A";2.4;41505
158;"Acer";"Ultrabook";13.3;1920;1080;0;1;"Intel";"Core i5";1.2;8;"SSD";256;0;"Intel";"Windows";1.12;52694
159;"Dell";"Notebook";17.3;1920;1080;0;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"AMD";"Windows";2.8;57809
161;"Vero";"Notebook";14.0;1920;1080;0;1;"Intel";"Celeron Dual";1.1;4;"Flash Storage";32;0;"Intel";"Windows";1.3;13853
162;"Xiaomi";"Ultrabook";13.3;1920;1080;0;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"N/A";1.3;53275
163;"Lenovo";"Notebook";17.3;1600;900;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";"N/A";2.8;37189
164;"Dell";"2 in 1 Convertible";13.3;1920;1080;1;1;"Intel";"Core i7";1.8;8;"HDD";1024;0;"Intel";"Windows";1.62;44702
165;"HP";"Notebook";17.3;1920;1080;0;1;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Nvidia";"Windows";2.5;48698
166;"Razer";"Gaming";17.3;3840;2160;1;0;"Intel";"Core i7";2.9;32;"SSD";1024;0;"Nvidia";"Windows";3.49;324955
167;"HP";"Notebook";13.3;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";512;0;"Intel";"Windows";1.49;51096
168;"HP";"Gaming";17.3;1920;1080;0;1;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";3.35;73473
169;"HP";"Notebook";17.3;1920;1080;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"Windows";2.5;55678
170;"Dell";"Gaming";15.6;3840;2160;0;1;"Intel";"Core i7";2.8;16;"Hybrid";512;1024;"Nvidia";"Windows";2.65;98302
171;"Lenovo";"Notebook";15.6;1366;768;0;0;"Intel";"Core i5";2.3;4;"SSD";128;0;"Intel";"Windows";2.1;26267
172;"Acer";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"Nvidia";"Windows";2.23;39534
173;"Lenovo";"Gaming";15.6;1920;1080;0;1;"Intel";"Core i7";2.8;16;"Hybrid";512;1024;"Nvidia";"Windows";3.2;93187
174;"Dell";"Workstation";15.6;3840;2160;0;0;"Intel";"Xeon E3-1505M";3.0;16;"Hybrid";256;1024;"Nvidia";"Windows";2.8;162770
175;"Lenovo";"Gaming";15.6;1920;1080;0;0;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";"N/A";2.4;74485
176;"Dell";"Notebook";15.6;1366;768;1;0;"Intel";"Core i3";2.4;6;"HDD";1024;0;"Intel";"Windows";2.3;23390
177;"Dell";"Ultrabook";13.3;3840;2160;1;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"Windows";1.21;103843
178;"Dell";"Ultrabook";13.3;1920;1080;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"Windows";0.0;77203
180;"Acer";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"Linux";2.4;41505
181;"Asus";"Gaming";17.3;1920;1080;0;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";2.9;74965
182;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";"N/A";2.1;18595
183;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"N/A";2.2;29251
184;"Huawei";"Ultrabook";13.0;2160;1440;0;1;"Intel";"Core i7";2.7;8;"SSD";512;0;"Intel";"Windows";1.05;79867
185;"Dell";"Ultrabook";13.3;1920;1080;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";"Windows";1.4;49651
186;"Lenovo";"Notebook";17.3;1600;900;0;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Nvidia";"N/A";2.8;31382
187;"HP";"Notebook";14.0;1920;1080;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"Windows";1.63;54932
188;"Dell";"Ultrabook";14.0;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"Windows";1.6;61219
189;"Dell";"2 in 1 Convertible";13.3;1920;1080;1;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";"Windows";1.62;68145
190;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";"Linux";2.2;36089
191;"Lenovo";"2 in 1 Convertible";14.0;1920;1080;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"Windows";1.74;47899
192;"Toshiba";"Ultrabook";13.3;1920;1080;0;0;"Intel";"Core i7";2.5;8;"SSD";256;0;"Intel";"Windows";1.2;72621
193;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Intel";"Windows";2.1;42304
194;"Dell";"Gaming";17.3;1920;1080;0;1;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";4.42;130874
195;"Acer";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";"Windows";2.2;44329
